Variable
Lot Frontage
Lot Area
Overall Qual
Overall Cond
Year Built
Year Remod/Add
Mas Vnr Area
BsmtFin SF 1
BsmtFin SF 2
Bsmt Unf SF
Total Bsmt SF
1st Flr SF
2nd Flr SF
Low Qual Fin SF
Gr Liv Area
Bsmt Full Bath
Bsmt Half Bath
Full Bath
Half Bath
Bedroom AbvGr
Kitchen AbvGr
TotRms AbvGrd
Fireplaces
Garage Yr Blt
Garage Cars
Garage Area
Wood Deck SF
Open Porch SF
Enclosed Porch
3Ssn Porch
Screen Porch
Pool Area
Misc Val
MS SubClass_150
MS SubClass_160
MS SubClass_180
MS SubClass_190
MS SubClass_20
MS SubClass_30
MS SubClass_40
MS SubClass_45
MS SubClass_50
MS SubClass_60
MS SubClass_70
MS SubClass_75
MS SubClass_80
MS SubClass_85
MS SubClass_90
MS Zoning_C (all)
MS Zoning_FV
MS Zoning_I (all)
MS Zoning_RH
MS Zoning_RL
MS Zoning_RM
Street_Pave
Alley_None
Alley_Pave
Lot Shape_IR2
Lot Shape_IR3
Lot Shape_Reg
Land Contour_HLS
Land Contour_Low
Land Contour_Lvl
Utilities_NoSeWa
Utilities_NoSewr
Lot Config_CulDSac
Lot Config_FR2
Lot Config_FR3
Lot Config_Inside
Land Slope_Mod
Land Slope_Sev
Neighborhood_Blueste
Neighborhood_BrDale
Neighborhood_BrkSide
Neighborhood_ClearCr
Neighborhood_CollgCr
Neighborhood_Crawfor
Neighborhood_Edwards
Neighborhood_Gilbert
Neighborhood_Greens
Neighborhood_GrnHill
Neighborhood_IDOTRR
Neighborhood_Landmrk
Neighborhood_MeadowV
Neighborhood_Mitchel
Neighborhood_NAmes
Neighborhood_NPkVill
Neighborhood_NWAmes
Neighborhood_NoRidge
Neighborhood_NridgHt
Neighborhood_OldTown
Neighborhood_SWISU
Neighborhood_Sawyer
Neighborhood_SawyerW
Neighborhood_Somerst
Neighborhood_StoneBr
Neighborhood_Timber
Neighborhood_Veenker
Condition 1_Feedr
Condition 1_Norm
Condition 1_PosA
Condition 1_PosN
Condition 1_RRAe
Condition 1_RRAn
Condition 1_RRNe
Condition 1_RRNn
Condition 2_Feedr
Condition 2_Norm
Condition 2_PosA
Condition 2_PosN
Condition 2_RRAe
Condition 2_RRAn
Condition 2_RRNn
Bldg Type_2fmCon
Bldg Type_Duplex
Bldg Type_Twnhs
Bldg Type_TwnhsE
House Style_1.5Unf
House Style_1Story
House Style_2.5Fin
House Style_2.5Unf
House Style_2Story
House Style_SFoyer
House Style_SLvl
Roof Style_Gable
Roof Style_Gambrel
Roof Style_Hip
Roof Style_Mansard
Roof Style_Shed
Roof Matl_CompShg
Roof Matl_Membran
Roof Matl_Metal
Roof Matl_Roll
Roof Matl_Tar&Grv
Roof Matl_WdShake
Roof Matl_WdShngl
Exterior 1st_AsphShn
Exterior 1st_BrkComm
Exterior 1st_BrkFace
Exterior 1st_CBlock
Exterior 1st_CemntBd
Exterior 1st_HdBoard
Exterior 1st_ImStucc
Exterior 1st_MetalSd
Exterior 1st_Plywood
Exterior 1st_PreCast
Exterior 1st_Stone
Exterior 1st_Stucco
Exterior 1st_VinylSd
Exterior 1st_Wd Sdng
Exterior 1st_WdShing
Exterior 2nd_AsphShn
Exterior 2nd_Brk Cmn
Exterior 2nd_BrkFace
Exterior 2nd_CBlock
Exterior 2nd_CmentBd
Exterior 2nd_HdBoard
Exterior 2nd_ImStucc
Exterior 2nd_MetalSd
Exterior 2nd_Other
Exterior 2nd_Plywood
Exterior 2nd_PreCast
Exterior 2nd_Stone
Exterior 2nd_Stucco
Exterior 2nd_VinylSd
Exterior 2nd_Wd Sdng
Exterior 2nd_Wd Shng
Mas Vnr Type_BrkFace
Mas Vnr Type_CBlock
Mas Vnr Type_None
Mas Vnr Type_Stone
Exter Qual_Fa
Exter Qual_Gd
Exter Qual_TA
Exter Cond_Fa
Exter Cond_Gd
Exter Cond_Po
Exter Cond_TA
Foundation_CBlock
Foundation_PConc
Foundation_Slab
Foundation_Stone
Foundation_Wood
Bsmt Qual_Fa
Bsmt Qual_Gd
Bsmt Qual_None
Bsmt Qual_Po
Bsmt Qual_TA
Bsmt Cond_Fa
Bsmt Cond_Gd
Bsmt Cond_None
Bsmt Cond_Po
Bsmt Cond_TA
Bsmt Exposure_Gd
Bsmt Exposure_Mn
Bsmt Exposure_No
Bsmt Exposure_None
BsmtFin Type 1_BLQ
BsmtFin Type 1_GLQ
BsmtFin Type 1_LwQ
BsmtFin Type 1_None
BsmtFin Type 1_Rec
BsmtFin Type 1_Unf
BsmtFin Type 2_BLQ
BsmtFin Type 2_GLQ
BsmtFin Type 2_LwQ
BsmtFin Type 2_None
BsmtFin Type 2_Rec
BsmtFin Type 2_Unf
Heating_GasA
Heating_GasW
Heating_Grav
Heating_OthW
Heating_Wall
Heating QC_Fa
Heating QC_Gd
Heating QC_Po
Heating QC_TA
Central Air_Y
Electrical_FuseF
Electrical_FuseP
Electrical_Mix
Electrical_SBrkr
Kitchen Qual_Fa
Kitchen Qual_Gd
Kitchen Qual_Po
Kitchen Qual_TA
Functional_Maj2
Functional_Min1
Functional_Min2
Functional_Mod
Functional_Sal
Functional_Sev
Functional_Typ
Fireplace Qu_Fa
Fireplace Qu_Gd
Fireplace Qu_None
Fireplace Qu_Po
Fireplace Qu_TA
Garage Type_Attchd
Garage Type_Basment
Garage Type_BuiltIn
Garage Type_CarPort
Garage Type_Detchd
Garage Type_None
Garage Finish_None
Garage Finish_RFn
Garage Finish_Unf
Garage Qual_Fa
Garage Qual_Gd
Garage Qual_None
Garage Qual_Po
Garage Qual_TA
Garage Cond_Fa
Garage Cond_Gd
Garage Cond_None
Garage Cond_Po
Garage Cond_TA
Paved Drive_P
Paved Drive_Y
Pool QC_Fa
Pool QC_Gd
Pool QC_None
Pool QC_TA
Fence_GdWo
Fence_MnPrv
Fence_MnWw
Fence_None
Misc Feature_Gar2
Misc Feature_None
Misc Feature_Othr
Misc Feature_Shed
Misc Feature_TenC
Mo Sold_10
Mo Sold_11
Mo Sold_12
Mo Sold_2
Mo Sold_3
Mo Sold_4
Mo Sold_5
Mo Sold_6
Mo Sold_7
Mo Sold_8
Mo Sold_9
Yr Sold_2007
Yr Sold_2008
Yr Sold_2009
Yr Sold_2010
Sale Type_CWD
Sale Type_Con
Sale Type_ConLD
Sale Type_ConLI
Sale Type_ConLw
Sale Type_New
Sale Type_Oth
Sale Type_VWD
Sale Type_WD 
Sale Condition_AdjLand
Sale Condition_Alloca
Sale Condition_Family
Sale Condition_Normal
Sale Condition_Partial
