y_real,y_pred,residuo
152000,155689.92390923423,-3689.9239092342323
185000,216899.07798947202,-31899.077989472018
101800,91755.76297878755,10044.237021212452
90000,94683.99928057882,-4683.999280578821
94550,111484.31020835348,-16934.310208353476
211000,208694.56682342864,2305.4331765713578
286000,295193.9821009808,-9193.982100980822
140000,151455.5359931544,-11455.535993154394
129000,198484.25708199848,-69484.25708199848
293200,254490.47439570766,38709.52560429234
93500,118183.16462529331,-24683.164625293313
315000,297851.60978373716,17148.390216262836
175000,185038.15093060685,-10038.150930606847
224243,208430.3077603055,15812.692239694501
125000,97536.48506061002,27463.514939389977
139000,141440.70205138667,-2440.7020513866737
131000,136608.02691473177,-5608.026914731774
375000,334159.02531545464,40840.97468454536
115000,95534.74532592873,19465.25467407127
157000,154077.77535730053,2922.224642699468
103500,139349.95911503423,-35849.95911503423
142500,175675.2299045883,-33175.22990458831
158000,178019.02489213695,-20019.02489213695
198500,187898.08914213974,10601.91085786026
89000,78252.18152044322,10747.81847955678
155900,143567.10983182266,12332.890168177342
296000,327959.8125218981,-31959.81252189807
169990,182409.11515074543,-12419.115150745434
129000,136792.0675626176,-7792.067562617594
220000,242900.7913819491,-22900.791381949093
230000,223094.95402905226,6905.045970947744
128500,129673.95200090586,-1173.9520009058615
166000,131069.93195901292,34930.068040987084
100000,94408.99576574957,5591.004234250431
187000,188203.63424761328,-1203.634247613285
226000,236155.89184927646,-10155.891849276464
188700,180566.41411948868,8133.585880511324
176400,174201.15906399884,2198.8409360011574
121500,118457.18674563107,3042.813254368928
245500,273571.8612387268,-28071.861238726822
195000,205189.66914048372,-10189.669140483718
281213,282278.69334958494,-1065.693349584937
131000,130583.83015915012,416.1698408498778
181134,205499.02813735287,-24365.02813735287
154000,211614.40957373913,-57614.40957373913
157500,163385.70000986027,-5885.700009860273
119000,129408.75077159739,-10408.750771597392
138887,138691.54158149162,195.45841850838042
254000,237120.33128083588,16879.668719164125
230000,239193.63687942713,-9193.636879427126
97500,131769.32475260214,-34269.324752602144
253000,247904.6138796354,5095.386120364594
169000,179205.8693509176,-10205.869350917608
175000,189834.09622135322,-14834.096221353218
141000,128813.17838431108,12186.821615688925
127000,110933.60867402478,16066.391325975215
115000,97573.49690634648,17426.50309365352
185000,190939.55273757406,-5939.552737574064
137000,129728.49342942222,7271.5065705777815
177500,172536.09954275872,4963.900457241281
220000,218018.08959783657,1981.9104021634266
250000,233321.15309095342,16678.84690904658
147500,150010.70703619544,-2510.7070361954393
143500,166186.9908487371,-22686.9908487371
63000,80964.11282896734,-17964.112828967336
128200,132276.34243892285,-4076.3424389228458
258000,265808.1324341017,-7808.132434101717
99500,96931.48159026628,2568.5184097337187
140000,142796.58246470007,-2796.58246470007
